e177_target_rank,perturbation,n_exact_cells,1,2,3,4,5,6,7,8,in_expression_var,in_scgpt_vocab,is_single_gene_label,min_exact_cells_per_technical_group,n_technical_groups_with_cells,eligible_e177_target,e177_selection_sha256,cell_count_quartile,e177_split_sha256,target_split,selection_used_expression_matrix_or_truth_error,technical_group_label_is_biological_context
18,LDLR,667,79,87,79,68,85,90,84,95,True,True,True,68,8,True,cfba18b84c754f9ca4bd0f7a2a84039373c0fa29a72b8a4fbbea2a661442d306,Q4_high,6e1557cf289aa5ff304bb1e53463576a1b72e5e71781d264c473674b77c4affa,calibration,False,False
19,NFKBIA,105,18,15,11,12,16,12,9,12,True,True,True,9,8,True,927934a28fc90e16ba2bb8011b0af39e0e50088f597fa0af60f0c339cd2d93c8,Q2,66baf7067f2037cf781345b989dea30748bcb91ad52ab2b106827c5e32d91b42,calibration,False,False
20,PPIH,81,12,10,10,11,14,6,10,8,True,True,True,6,8,True,0f9896b6d44f9162492dff6e8a0fda7a512e14850484a69f749f1940a26a664e,Q1_low,6e102eb40055ebf962d65cd15aa2deb84051d059f5a453acc3a96b0e8d598acb,calibration,False,False
21,PRKCI,100,14,14,12,11,17,10,9,13,True,True,True,9,8,True,014287dcd93d869d56e220795c42291920456093a4e0837cc120cfa918df43a4,Q2,8cc220acb5b4f1e5fae6e189b7f34e37f7da6041585a53c9d91bf0b54e81c551,calibration,False,False
22,SGTA,110,15,14,15,15,12,15,13,11,True,True,True,11,8,True,636c7ea93f16f05363734bf9cdaf1d3d55360a857241424942b7e359b3d9792e,Q2,825fb7192fd81cd388de5b6775c0dd52148d7ddd244007d45c00a86d11279f14,calibration,False,False
23,SPNS1,177,20,19,22,23,24,33,23,13,True,True,True,13,8,True,d11607aa000bae031ca824a8812a977895ad76ffba27c708dab12c1eed2b45f0,Q4_high,5c0fbae4c539e673583b5e1d55a41e647f1836e851e946fb0825f4d43a8d44c5,calibration,False,False
24,STAT1,138,21,13,9,21,22,11,19,22,True,True,True,9,8,True,42e2eed77ebd804994657756e4b9d334e6268d7ab8ad9e5f6729094b24d76872,Q3,95085aa233bb5bb39cca28d4b9038d5bf201f590f48f97919c57fb8e7db9a2be,calibration,False,False
25,STK16,165,19,21,19,23,19,22,14,28,True,True,True,14,8,True,3aa9190d07a946deefadeec76a0b00dfe8130678dce581004da4ccc30400c0f9,Q4_high,7e060cf541a4e5ca1b13ad38a53e09e06d266b805a058c93352d156ea2bb8955,calibration,False,False
26,TLR3,82,7,12,8,11,10,9,7,18,True,True,True,7,8,True,1a6281433ac7f8c2fc1612849221ec442f85af4a015f1944491b9ad58d856bd1,Q1_low,68484ec2ce026a5951b2bbb273f299e0777d9a5df2239bb3bc6c27ce2e970a84,calibration,False,False
27,TOM1,415,56,54,44,50,43,56,53,59,True,True,True,43,8,True,79e87283b1120570264c148ceb4fa1cd59a9c6996e9be507cb0a763f9d1f0bc9,Q4_high,7ecbf35d5f0d7f37cff336350657b7eb3fb47193b1a93ec98f40709b15eb353c,calibration,False,False
28,VAC14,789,88,91,103,104,113,106,90,94,True,True,True,88,8,True,b8a702ba5b4244bfb18638fb72bbe8b7acd976e9ce5a95517ea4e76c2216b928,Q4_high,6a7d38ef9aa944305877920f25e9c6d9e3c4aeb432b462918bed2971ee6ec8b8,calibration,False,False
29,VPS39,80,10,8,11,15,10,11,5,10,True,True,True,5,8,True,d76a595f61a3f1b0dac2126bbee81dddf01c4f3e7090907e05664858a7d29ed0,Q1_low,6309680025913e7ab2558bb000b3d50e7c315713134d0fed5960853b44124d97,calibration,False,False
30,ZYG11B,140,22,11,21,22,15,14,15,20,True,True,True,11,8,True,830cea1c9b8f5ffd0e9208e97a93c50fbd0cedf03bb9b27ddea9000f588d5ba5,Q3,960d0725c0b07c76a3727c7022a7dcf95c6e3442c2181cc52d372f7b76366bce,calibration,False,False
31,ANPEP,191,23,26,25,28,19,30,11,29,True,True,True,11,8,True,ac5edf56b7f91319b9611f074b656281a0477af108ecd1bbdf68b1321e0d2fbf,Q4_high,fd466a26df5a57150fec9a7b2a6da6311b4265c9f772cc4ebdd39773800bd7ec,evaluation,False,False
32,ATF6,121,16,13,15,24,13,16,12,12,True,True,True,12,8,True,cdeb7665e1689bbd7a41677922abf6b86f40177b9cb3fd4743f98f297824e550,Q3,e5b15fae50e123c1a9d55f31fe07c1b486c5a53d05079f872c257b733559c0d0,evaluation,False,False
33,ATG9A,91,15,9,11,9,14,6,15,12,True,True,True,6,8,True,f42d9b4b05b4281d27d8e514dc29762b4d13fb9c55bae90c7a6458646d533bde,Q2,bc31c60621af32b5250cc8ecd29428702a84be5019e6a9f0ee0afdb19cea9304,evaluation,False,False
34,BAG6,78,11,7,10,12,12,11,7,8,True,True,True,7,8,True,cf970ab8967b7a594d5de255c6fdc07299026959e32f1137ff0d2290f1a049fe,Q1_low,d56972724a115befb2e8371893f5fec80c0c72a343fe2aba4772389af53db767,evaluation,False,False
35,BCKDK,138,17,15,13,22,20,25,11,15,True,True,True,11,8,True,fb8c2ecf5d2f44f0bbafddcff7a98b9d43262fc4a3d4e55133d995768cd60dbd,Q3,c62164af25e531bad48f8134c3299224097c7824f1f33991f65cec203859f1d6,evaluation,False,False
36,BRD4,88,18,10,13,13,12,4,11,7,True,True,True,4,8,True,eb684e01a90ada1b37e5762761d4d78afa5c9f87fca8d094838142b0f9175d2b,Q2,e462fcd86df58b4e09832af569649ab574abc1913b0f244c754dfcf35f7aa54f,evaluation,False,False
37,CASP9,122,16,19,19,12,19,11,14,12,True,True,True,11,8,True,b177a6190c96d268c9c3ca98fc5d0ef2d8129151ae4f9eb91b4abc93a362b3a8,Q3,ecaf4f41a5a04d00be4487b3a16d1b23cf3cd94ce6f00d4e527a226269cb0f70,evaluation,False,False
38,CCZ1B,154,22,21,19,17,13,18,19,25,True,True,True,13,8,True,570113f44782a1351dc70f7b16e18c7c387632d3ff512433a86f2aa90c9b9de8,Q4_high,c8054b59b494f14762a39e6f758126f8989d28654f1dcf39b9e278b4af2f4dd5,evaluation,False,False
39,CHD7,204,23,32,27,29,22,26,22,23,True,True,True,22,8,True,1024f9d826313a7447b9e62acdf90de328cf480c626d25d43870aef0222d42ec,Q4_high,a180fbe8c581b6046c9719a338dd76974a33debacb543e39f657645b1cd3f009,evaluation,False,False
40,CHEK2,164,16,30,14,19,24,23,20,18,True,True,True,14,8,True,cbf4171426abe1fbf09dc52d1666d0dc9099080ffdb2430f90b479a5e528a2bb,Q4_high,9c34dea11843b7cb1111e10b0f804d89a495aac74171282372acf2de5e2f21ef,evaluation,False,False
41,DDX1,78,11,7,13,8,12,11,8,8,True,True,True,7,8,True,b913a110333ad677c6d3f128e6e06dbbe1ffd124c3c8806e8baff2eec8785629,Q1_low,892361e50daa41bbc3af99793bbffb5cde2e32bebc4db78d004c01b67601c6a3,evaluation,False,False
42,EIF2AK2,117,19,10,18,16,12,14,18,10,True,True,True,10,8,True,f9081d9cddb24261c35c50b7ae2628bbd38ac0ba31688f739ba5805e62c8df72,Q2,e9c5ba1c52f93e11359c7afdfcd71e2605522e577cbaf9e806102ef30d252119,evaluation,False,False
43,EIF2AK3,158,22,18,22,22,18,11,24,21,True,True,True,11,8,True,269006df53a1dd5753d44f0758556f1b5ddd53e37b4993ff8642b367758cf113,Q4_high,f4fb5479562ee8118b16065656cadf99a7c54fb5b90b1d0a0a6aafe2290f6d26,evaluation,False,False
44,EMC4,118,13,17,16,20,9,18,10,15,True,True,True,9,8,True,c1484dab3b31c295e88166d3bdee2969faa78e66a1c8cad89fab073a22d2a8ba,Q2,e640aaadfa78618316b9c147d05cd3786a7276a77b9c6278b758f70033552e31,evaluation,False,False
45,FURIN,132,17,26,13,12,11,17,11,25,True,True,True,11,8,True,8576036f30677b11cffc210fefa5750dfdbbd05e323e002fa0b8d734edb15723,Q3,b772a90532d7fb81fe59eb1c95e5488b9a86c14b07ed5676c7ba79b436580093,evaluation,False,False
46,IFITM1,133,23,13,12,20,19,18,15,13,True,True,True,12,8,True,17ac1c477ad1ebbd0f576835b534a0140846ce338d0651783b672af3d1d1060d,Q3,bdd95810f55923301c09215a1f609f595d0619d211568c5a891918de5aab5604,evaluation,False,False
47,IFITM3,102,12,13,15,14,21,9,13,5,True,True,True,5,8,True,09a3d6fe726f65409b0a1c26b806ad9cf1e69e918a749461ba640219cfcfa533,Q2,aced1d227518a93632298c553b6ae4bb37758666d872e9ec9270bf05f205c111,evaluation,False,False
48,IFNAR1,83,10,8,6,13,14,11,8,13,True,True,True,6,8,True,e6df0fbc7c5e80b4f5cacde1de7212f31007ed6316ce4453f64c6ed48a06b7ed,Q1_low,a51a33fb1409bf06b2c0df00998cbff3c9d832c1884c94a93c55df9eb1326e68,evaluation,False,False
49,IRF3,81,14,18,13,8,5,9,4,10,True,True,True,4,8,True,ca89b7dacd685bf7aa1c42094de81c4b40e05fe2a6f3f89ec78f248d697ae2db,Q1_low,cbeaec08c2ba3e153ed083469a55caa4ea153e215aad267cbf8f8c6ee896cd57,evaluation,False,False
50,JAK1,165,16,23,27,20,22,23,13,21,True,True,True,13,8,True,559fd8d8895bef2e2a9c61c5662bef08e9b2f078190ec7be52fba1d87dde1520,Q4_high,ecedb136a24a7362298e575090c1820111cd6af848910299a610af0b51d6f762,evaluation,False,False
51,MARK3,109,24,7,15,10,11,16,17,9,True,True,True,7,8,True,18310a6c853bd816484115ab7c77b1c9041c7ddc57b2f97ae27e20934075080b,Q2,debbb1cc06bdd6c35254956f9203ea81e38fcb9cfd3048cf68348864d2a64ea7,evaluation,False,False
52,MFSD12,418,47,49,46,51,43,76,59,47,True,True,True,43,8,True,b7b4660516d1bf30b788f34f6dd8a21ae5db11f21acc487c60f75bc6306bea56,Q4_high,8b12ab9decf0e839c850aa2843bbd85d39a376cb758e5c42eb53f2383438e1dd,evaluation,False,False
53,MOV10,68,10,9,10,9,3,9,8,10,True,True,True,3,8,True,6085c51a82e93dda25b7e7cdbf0518dad528207e9380542af79f901948599e8c,Q1_low,eb37c4dc014ecb4cdc4964b132a618f6c93b0c1e09c2ef620590dbcb29148360,evaluation,False,False
54,MYD88,99,15,14,12,11,12,12,15,8,True,True,True,8,8,True,ec4e6d7faa03fcb10e0ebe5a230d49b63912509be417b097f51d1d5f47cbeaf3,Q2,be914e2c32ba3592ce82386bd4c5a9597b9d7da830324ab5a07c5329e8039873,evaluation,False,False
55,NAE1,51,3,9,4,9,3,7,9,7,True,True,True,3,8,True,d541a607735092bb7358ba0d26ce58448ab6129594a2ba153d4c2e2df4f8b8a6,Q1_low,93c7cd08a52195942b6d4aadb52d9394069f17e7f5b97c07476aeb9063071527,evaluation,False,False
56,NBAS,45,8,6,3,3,4,4,13,4,True,True,True,3,8,True,47b864f934fc53bcae1ee13a6cbbd0b918e9e3f1b4a2a6ff1455787c6dbf643c,Q1_low,870626be7217323084332218621aaf35ab7c4a03dcb4c604cf631a344f1c240a,evaluation,False,False
57,NDFIP2,129,18,13,14,22,18,17,15,12,True,True,True,12,8,True,3a6d2a1d2c801b849498ebbc221801cfd045bbbee50fc0bdd56fab27db61ef71,Q3,c82031ee6ef3b4e2a30ff7ce9092463fd0cd70c4f1d89fa8a2d47e4f0559f57d,evaluation,False,False
58,NLRX1,105,15,9,15,16,15,19,6,10,True,True,True,6,8,True,43d260959355a7304ab0a1599709cecf1bd8fd7f7408f37e09c5f697b9712d73,Q2,b114f4619f9a9d0523a1c438bb9e381ffc1d6b9c2bcc4b0b8f9e5fd7a3270943,evaluation,False,False
59,PPIA,140,26,21,15,20,16,11,16,15,True,True,True,11,8,True,0afbff536e83da1a7580d493b2042dcd173737d3ac4a7c15e15226b3632db74a,Q3,ec2ade5b2affb6d938cfd742d987ebed3b265346f1b595dae126b6d8fb303558,evaluation,False,False
60,PPIG,46,4,3,6,6,7,4,10,6,True,True,True,3,8,True,3da1c9163a4946b055d4353812d980748e8dd4632501fdc12d12d86ae301d581,Q1_low,72866b05e13d5fd205005eafccb5ee856d846eb2208549b6a648849447cdde6a,evaluation,False,False
61,RB1CC1,108,10,19,10,15,14,10,12,18,True,True,True,10,8,True,69e6ce124cc5f3dfe852638aed4e9a9c94536312eb110bb7123b37f9b9c24c8a,Q2,c11c6be3a69c50681897af81cd591d343cd639020cc3fe19bb1e6255a8fff530,evaluation,False,False
62,RELA,110,13,15,19,8,14,23,9,9,True,True,True,8,8,True,b5d4e128746eefadcb118e7fdd2680bf23dfcf575f0da1b80e4f52da662e7d34,Q2,c12c93e64cbbbed023295481c779c27a90cf69d422ec36f79b22f9029080c0b1,evaluation,False,False
63,RIPK1,180,27,22,19,31,30,17,17,17,True,True,True,17,8,True,74fc5a577b917c5e03b0c70f372752e3cfadb4b2066e37107c4c2f1bbc7b7a4f,Q4_high,c064ae0d60e15f47cca3ee573790174023451cc463d0b3e330b3706a884e759c,evaluation,False,False
64,RTN4,167,15,24,29,20,15,22,23,19,True,True,True,15,8,True,33617034320d17cc7e9ba5a6662b9f87f1c856c294164357831618f3d2ad60f2,Q4_high,a158c9a30086e11c30618ca59f2fa7a6d8722d06c2d49e6fb9650d6d2fbc994d,evaluation,False,False
65,SCARB1,46,6,7,5,6,5,7,5,5,True,True,True,5,8,True,21f04acba707a18c943eeea052cc663b2ef8f8530507ea5cdb9893e25ee335e8,Q1_low,da93eb6f7567a063f904531fd7c873b5d061b41dbfed74c9d6e2290d917daa24,evaluation,False,False
66,SIGMAR1,190,22,26,17,30,16,35,21,23,True,True,True,16,8,True,532e20c4caaccd42bde555732537b40b497e5e9a92ed526ae31168c635cff243,Q4_high,ab103f0df88f73479d75b0d4d7795beae7d811fac5822653f7cea2afef2a21cc,evaluation,False,False
67,SIRT1,140,15,18,23,13,21,18,16,16,True,True,True,13,8,True,5e88001783e157e2feaf3fa926b4085f06a0ffec26ff743146fb5e81b6e69583,Q3,b58f0da6fd170d963ab41991490aa7d98dfbdae2df42cedba26ee0bda1cdc2c6,evaluation,False,False
68,SLC35B2,83,8,9,10,12,5,10,14,15,True,True,True,5,8,True,956efeb3fed0d920dd0779df38050f8fa8ba60d4d10ccadaa7491ca034a8f4a0,Q1_low,8168ec45876b9f791e61fd6b38eae51849b1e66044315e41bbcf4e4cfa408939,evaluation,False,False
69,STAT2,138,21,13,19,15,15,18,13,24,True,True,True,13,8,True,65c3ab5766c95186ec6c96c11bc6172852efe7a4c058bb01d18c6de1748033b2,Q3,e5d41c1967ba9364b1177423f251905728b9434fdd82380da58c5d4955a88b9b,evaluation,False,False
70,TBCB,135,25,16,12,11,14,22,16,19,True,True,True,11,8,True,212f125139c166f99dfc557eaed59cc44a5b2db6278db0b3808dc2c49d32123a,Q3,e59ec4222a8a6f82abf1a181250d10e9efc52e8717542611e249073282de6916,evaluation,False,False
71,TLE3,137,16,19,14,22,21,20,12,13,True,True,True,12,8,True,d09389f216bf2275660b25d1580daa627261fe0c440e407b896d3a1d2d5882a8,Q3,d01ec379af0c6d252132110c2ef66c3782d8be6e99048c3085f88b7733152a04,evaluation,False,False
72,TMEM41B,99,11,20,13,10,10,10,11,14,True,True,True,10,8,True,e48a4a691303f6a311e326a860b0034de54cf924efc2d30840a2b1c1e949310a,Q2,e75e1873b7c20e060d07780e4737fe56cf4d632e5944bcf1908ae14a88f960de,evaluation,False,False
73,TMEM97,154,23,21,21,15,18,22,15,19,True,True,True,15,8,True,5cc0b7b9de75055959d8ed0ac29743a70f1a851e73e36b50f6d34a03c7142ff1,Q4_high,a35fe2588039ab55b4fc8c50436980a6c475a9ef9611da7693dbc571da0646d7,evaluation,False,False
74,TRMT1,183,35,21,17,25,21,34,15,15,True,True,True,15,8,True,eb62c0e9b33e740a1fc0422eccabadede37ac4fd72568bd717b1e78c8667682d,Q4_high,b149ac08358027bd0d8b1d6ee6dc3e68af56423a2c38607b151a582651032a8d,evaluation,False,False
75,TYK2,111,13,13,13,13,16,16,12,15,True,True,True,12,8,True,46f216bf369b47798801ccea24c1df53aaec4761ab8075e95b9c985f60292b94,Q2,bd32c0f449a8459176e0ee0a3207cf54b6238a60070e46f62bebc511562f49ac,evaluation,False,False
76,TYRO3,113,22,8,13,15,11,9,16,19,True,True,True,8,8,True,93a51b2e4bda46f2140037f02b9b58bacf5614f5919a83288ba5b884b133b369,Q2,b60287c65bed63ffa556c513fc23123624ed469f61b8ad6149a34190878119e7,evaluation,False,False
77,USO1,81,13,13,14,10,12,12,4,3,True,True,True,3,8,True,6fcabe7022d6404bb393b68f6980eed757e1b1e3fdf79fb5528a275c6c80d6c5,Q1_low,d9c02b4941dbcf1bad4cb8256ca9e00bbf15e58db3fffa92cc68c655c5972bda,evaluation,False,False
78,VPS33A,62,8,6,8,7,10,11,5,7,True,True,True,5,8,True,b2b05953cd898d64da4a6579eadd7965701749cb650565cf5dd895f3a66e26b3,Q1_low,c7e960fef31be80abe0a94722fe51b623f02920af41643bb9f69b0c3fbe3b8ca,evaluation,False,False
79,XBP1,140,24,8,21,21,17,19,16,14,True,True,True,8,8,True,b348c0092afc9d53ca17aa88dca0df5780196ae12483a6f8b6ded975ce9ea64c,Q3,c4b75d573b8f057809769f85e9d96730a39db6296fddcf88d86ac1ab29a62982,evaluation,False,False
80,ZCRB1,121,16,19,18,13,14,12,16,13,True,True,True,12,8,True,cac64086fc717368e35a90e685c66003f496ec9bc93dc0deb92aa8824ca63c51,Q3,ca6710c3c6d2c9ef56e32e623c213d90eed67796d2eb0bd52f83c631fce342a5,evaluation,False,False
81,AP3B1,73,11,9,6,8,9,10,8,12,True,True,True,6,8,True,aae3d787d6a2abeef58da2948cc4e831d4362644ff9ddf3e47a0899e03a6a4ba,Q1_low,11d0500e9de1bd9334cdb3227a471b96885aece5ab21d99f835c80d30ffdecef,train,False,False
82,ARF1,75,8,20,5,9,12,8,8,5,True,True,True,5,8,True,f4d89206b5799dd3df2b6a9e71943450443dfb68853550a2a472f2d7938ce5fa,Q1_low,05400fd0eddc38c1cea4add664337b16a839340e7bffc7191689ef109b68a510,train,False,False
83,ARFRP1,155,26,24,17,18,17,16,18,19,True,True,True,16,8,True,9f1c6a47fc0de727cb8279a4d0ad7fcaa1dd85dec48834ee0cd62e69c9f9a650,Q4_high,467c758ba082b1133d5ddf0a487bff44ec9fbeb885a5ec583cbe2e6f2d0601ba,train,False,False
84,ATG14,118,17,20,12,17,9,11,12,20,True,True,True,9,8,True,2b1bc19fa34146f89c0cd10cb0f49fea886295c547d4c9fc3c8f3c8bdc99b15e,Q2,32bfd12bf5bfb232d90701de78eee36564eedb7736c79f2f07e3bfab7531e9a2,train,False,False
85,BAX,106,16,14,17,15,6,13,10,15,True,True,True,6,8,True,da66c9f9ace2c4967c08600ba03046c3bf938fd178b7158fc699d2a76b6ccf9d,Q2,0b84c464d205efb4d6e9e2ce3803695759706b09ea38c73e17e0c7dd5dcd77dd,train,False,False
86,BCL2,105,15,14,11,14,12,13,10,16,True,True,True,10,8,True,68b54fd245ccbd6c09735007534b79c92aab61b221e9dea0b35bb76a66d4b07e,Q2,0a0ec3425912a5b72f6917542c6f003ef2c20d96819d7601d39471992d0c15de,train,False,False
87,BECN1,78,8,13,6,5,11,7,15,13,True,True,True,5,8,True,28a4635f8e54ec4b105418ec188ab99bc58b8532d50ed7a1998bebc0d53dca6d,Q1_low,4095e21880f24dc8b3f4f91a7266902ab30c51b3761e9670de1e61db709ba870,train,False,False
88,BID,147,17,20,22,23,16,19,12,18,True,True,True,12,8,True,4f3868ded94e2a3769b3f96047aa1ff9a3abce5cef9d68ba41335e9534c4ab30,Q3,0278ae48b34f0990d41e26c31ab349796c4981ea204c7ce774c75815ed93bdd5,train,False,False
89,BST2,137,19,23,11,12,16,13,24,19,True,True,True,11,8,True,bc51b09ae15d85f263ac6ae71f8fcd56e6ea89ec6e21cb1e3180887836084482,Q3,17da77bc5691ae6d7e61a78c630ad0bfc5c871cc216a0647027dc75191de6187,train,False,False
90,BTF3,55,5,8,16,3,7,6,5,5,True,True,True,3,8,True,bdac4c766a1361d9520a75348b412b6a82337e45aab9c3b0fd81f43c1b0e0d84,Q1_low,2b5726ebc637b12c580f341981f5aa8e52801ae3a8b08c41278640b5feded204,train,False,False
91,BZW2,62,10,10,8,7,9,7,7,4,True,True,True,4,8,True,deb00b2ab6741170b3fd11302e5e11064c904460871baa630573d93fc6193137,Q1_low,27bcb9e2f11485530a530e1bbce3d9aaafcad43d57def4cda4ad8b1567812e26,train,False,False
92,CASP3,141,20,22,14,16,13,20,14,22,True,True,True,13,8,True,298334fda8a4a6f9309a893aa8fafca89c3d783461bcab8cbcef0245fc9d104c,Q3,38c3f28a23dc4e9b920cd66c49ab56d6ed12849ce6827ce6b3d0076a8e465cfd,train,False,False
93,CASP8,138,20,21,21,9,19,16,16,16,True,True,True,9,8,True,da21b040522e4e03cd1f7ae79f4e994982b307cc5f6f25308d37f9ef1e1410f0,Q3,034b8d521d80b7557d54aad8cf26f65015927f2aaf357f561d715a4f0c4f0e49,train,False,False
94,CCZ1,190,24,28,20,22,17,30,23,26,True,True,True,17,8,True,e59fceac2facf175d801c22854ca05f9101a541a0d9daeeec4b04143b0a8f20e,Q4_high,3e1a413607fbe68bc7066e77a434ffe50dfa03df4ade8709cfaa5d3f192b8e87,train,False,False
95,CNBP,708,103,94,83,86,68,87,91,96,True,True,True,68,8,True,f26fee7aab9519425ea57304142db0f6372176b7ffae9fae31b303528b705710,Q4_high,2ae46a60af1b25ae2fa81194cd0f641beca0d9137945fd42c3db5a1184635304,train,False,False
96,COG6,60,12,4,3,9,11,10,7,4,True,True,True,3,8,True,c573ddcbb7fc1a2fb4158c7d71199a5d412df3f7306ed0185abe832d574febe1,Q1_low,220e0b2c372158aaf1eb66ca72d1a7105a4a2a587daf5f90c3b060cdfc2d04c2,train,False,False
97,CTSL,179,23,30,14,19,18,22,23,30,True,True,True,14,8,True,badcfc1403c6dff1b809b0dc8b15b207b146e59934344f7e7d2fefe4572b8191,Q4_high,1eae26e6d96e11c330741340c1fb777f610eb13cef23f2f35ee9265d2ee5338d,train,False,False
98,CWC27,184,29,19,26,29,17,15,31,18,True,True,True,15,8,True,2a1516ed9822d2024cecad20fe64d854c6e6e4233fbe1d2d0920ca3f1805778f,Q4_high,38bcab74b9daf19bd4583a7b423509f5f618572e1613c31d1097e7c03cb34934,train,False,False
99,CYB5B,109,11,13,10,19,20,9,14,13,True,True,True,9,8,True,376acf8c87fdca6f85fe3d7f8c24966825660ae54f793d3a82b620c27b5ccbf1,Q2,118d150297845c9ef55e80d251a41b59cd289ed17385818bface43030b7b0bb1,train,False,False
100,DDX58,136,16,21,11,23,14,18,14,19,True,True,True,11,8,True,4987fa8993c472b9679073b3b7b5e2c0d5fa1873b6a3991187339e367d953cf7,Q3,299a7a571117a73fa915f9aca1ec4b148e139fca46da31d5da4c95192fb84815,train,False,False
